"name","bio","birth_date","death_date","institution","awards","known_for","fields","page_title","image_url"
"Sheldon L Glashow","Sheldon Lee Glashow (.mw-parser-output .IPA-label-small{font-size:85%}.mw-parser-output .references .IPA-label-small,.mw-parser-output .infobox .IPA-label-small,.mw-parser-output .navbox .IPA-label-small{font-size:100%}US: /ˈɡlæʃoʊ/,UK: /ˈɡlæʃaʊ/; born December 5, 1932) is a Nobel Prize-winning American theoretical physicist. He is the Metcalf Professor of Mathematics and Physics at Boston University, and a Eugene Higgins Professor of Physics, emeritus, at Harvard University. Glashow is a member of the board of sponsors for the Bulletin of the Atomic Scientists.","December 5, 1932 (age 92)New York City, New York, U.S.",NA,"Cornell University (AB, 1954)Harvard University (PhD, 1959)","Oskar Klein Memorial Lecture (2017)Richtmyer Memorial Award (1994)Nobel Prize in Physics (1979)J. Robert Oppenheimer Memorial Prize (1977)Sloan Fellowship (1962)","Electroweak theory Georgi–Glashow model GIM mechanism Glashow resonance De Rujula-Georgi-Glashow quark modelChiral color Very special relativity Trinification Weak hyperchargeWeak mixing angleCriticism of Superstring theory","Theoretical Physics","Sheldon L. Glashow","https://upload.wikimedia.org/wikipedia/commons/c/c3/Sheldon_Glashow_at_Harvard_cropped.jpg"
"Leon Max Lederman","Leon Max Lederman (July 15, 1922 – October 3, 2018) was an American experimental physicist who received the Nobel Prize in Physics in 1988, along with Melvin Schwartz and Jack Steinberger, for research on neutrinos. He also received the Wolf Prize in Physics in 1982, along with Martin Lewis Perl, for research on quarks and leptons. Lederman was director emeritus of Fermi National Accelerator Laboratory (Fermilab) in Batavia, Illinois. He founded the Illinois Mathematics and Science Academy, in Aurora, Illinois in 1986, where he was resident scholar emeritus from 2012 until his death in 2018.","Leon Max LedermanJuly 15, 1922New York City, New York, U.S.","October 3, 2018 (aged 96)Rexburg, Idaho, U.S.",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}City College of New York (BA)Columbia University (PhD)","Nobel Prize in Physics (1988)Wolf Prize in Physics (1982)National Medal of Science (1965)Vannevar Bush Award (2012)William Procter Prize for Scientific Achievement (1991)","Seminal contributions to neutrinos, bottom quark","Physics","Leon M. Lederman","https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/HD.3F.001_%2811086394836%29_%28cropped%29.jpg/250px-HD.3F.001_%2811086394836%29_%28cropped%29.jpg"
"Niels Henrik David Bohr","Niels Henrik David Bohr (.mw-parser-output .IPA-label-small{font-size:85%}.mw-parser-output .references .IPA-label-small,.mw-parser-output .infobox .IPA-label-small,.mw-parser-output .navbox .IPA-label-small{font-size:100%}Danish: ; 7 October 1885 – 18 November 1962) was a Danish theoretical physicist who made foundational contributions to understanding atomic structure and quantum theory, for which he received the Nobel Prize in Physics in 1922. Bohr was also a philosopher and a promoter of scientific research.","7 October 1885 in Denmark","18 November 1962 (aged 77)Copenhagen, Denmark",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} University of Copenhagen (PhD) University of Cambridge Victoria University of Manchester","Hughes Medal (1921); Nobel Prize in Physics (1922); Matteucci Medal (1923); ForMemRS (1926); Franklin Medal (1926); Faraday Lectureship Prize (1930); Max Planck Medal (1930); Copley Medal (1938); Order of the Elephant (1947); Atoms for Peace Award (1957); Sonning Prize (1961)","Bohr–Van Leeuwen theorem (1911); Bohr model (1913); Coining the term correspondence principle (1920); BKS theory (1924); Conceiving complementarity (1927)","Atomic physics; Quantum physics","Niels Henrik David Bohr","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Niels_Bohr.jpg/250px-Niels_Bohr.jpg"
"David Jeffrey Wineland","David Jeffery Wineland (born February 24, 1944) is an American physicist at the Physical Measurement Laboratory of the National Institute of Standards and Technology (NIST). His most notable contributions include the laser cooling of trapped ions and the use of ions for quantum-computing operations. He received the 2012 Nobel Prize in Physics, jointly with Serge Haroche, for ""ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems.""","David Jeffery Wineland  February 24, 1944 (age 81)Milwaukee, Wisconsin, United States",NA,"University of California, BerkeleyHarvard University","IRI Medal (2020)Nobel Prize in Physics (2012)National Medal of Science (2007)Schawlow Prize (2001)","Cavity quantum electrodynamicsLaser cooling","Quantum physics","David Jeffrey Wineland","https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Portrait_of_David_Wineland.jpg/250px-Portrait_of_David_Wineland.jpg"
"Philip Warren Anderson","Philip Warren Anderson ForMemRS HonFInstP (December 13, 1923 – March 29, 2020) was an American theoretical physicist and Nobel laureate. Anderson made contributions to the theories of localization, antiferromagnetism, symmetry breaking (including a paper in 1962 discussing symmetry breaking in particle physics, leading to the development of the Standard Model around 10 years later), and high-temperature superconductivity, and to the philosophy of science through his writings on emergent phenomena. Anderson is also responsible for naming the field of physics that is now known as condensed matter physics.","Philip Warren AndersonDecember 13, 1923Indianapolis, Indiana, U.S.","March 29, 2020 (aged 96)Princeton, New Jersey, U.S.",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} Harvard University United States Naval Research Laboratory","Oliver E. Buckley Condensed Matter Prize (1964); Nobel Prize in Physics (1977); ForMemRS (1980); National Medal of Science (1982); Nihon Ki-in lifetime achievement award (2007)","Anderson localization; Anderson Hamiltonian; Anderson orthogonality theorem; Anderson's theorem; Kramers–Anderson superexchange; RVB theory; Many-body localization; Higgs mechanism; Quantum spin liquid; Spin glass; Polar metal","Physics","Philip Warren Anderson","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Andersonphoto.jpg/250px-Andersonphoto.jpg"
"Matthew Paul Alejandro Fisher",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peter A Zoller","Peter Zoller (born 16 September 1952) is a theoretical physicist from Austria. He was professor at the University of Innsbruck and is known for his pioneering research on quantum computing, quantum simulation and quantum communication.","16 September 1952 in Austria",NA,"University of Innsbruck","John Stewart Bell Prize (2019)Herbert Walther Award (2016) Wolf Prize in Physics (2013) BBVA Foundation Frontiers of Knowledge Award (2008)Benjamin Franklin Medal (2010)Dirac Medal (2006)Max Planck Medal (2005)","Trapped ion quantum computer, Quantum simulation, Quantum repeater","Physicist","Peter Zoller","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Zoller_Peter.jpg/250px-Zoller_Peter.jpg"
"Xiao‐Gang Wen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juan Ignacio Cirac","Juan Ignacio Cirac Sasturain (born 11 October 1965), known professionally as Ignacio Cirac, is a Spanish physicist. He is one of the pioneers of the field of quantum computing and quantum information theory. He was awarded the 2013 Wolf Prize in Physics.","Juan Ignacio Cirac Sasturain  October 11, 1965 (age 59)Manresa, Barcelona, Spain",NA,"Complutense University of Madrid","Prince of Asturias Award (2006)BBVA Foundation Frontiers of Knowledge Award (2008)Benjamin Franklin Medal (2010)Wolf Prize in Physics (2013)Max Planck Medal (2018)John Stewart Bell Prize (2019) Premio Innovación (Innovation Award) in the Premios Vanguardia (2023)","Trapped ion quantum computerQuantum network modelsCirac–Zoller CNOTW stateTensor network states","Physicist","Juan Ignacio Cirac","https://upload.wikimedia.org/wikipedia/commons/a/a2/Prof_Cirac_office_klein_%28cropped%29.jpg"
"Wolfgang Ketterle","Wolfgang Ketterle (.mw-parser-output .IPA-label-small{font-size:85%}.mw-parser-output .references .IPA-label-small,.mw-parser-output .infobox .IPA-label-small,.mw-parser-output .navbox .IPA-label-small{font-size:100%}German pronunciation: ; born 21 October 1957) is a German physicist and professor of physics at the Massachusetts Institute of Technology (MIT). His research has focused on experiments that trap and cool atoms to temperatures close to absolute zero, and he led one of the first groups to realize Bose–Einstein condensation in these systems in 1995. For this achievement, as well as early fundamental studies of condensates, he was awarded the Nobel Prize in Physics in 2001, together with Eric Allin Cornell and Carl Wieman.","21 October 1957 in West Germany",NA,"University of HeidelbergTechnical University of MunichUniversity of MunichMax Planck Institute of Quantum Optics","I. I. Rabi Prize (1997)Dannie Heineman Prize (1999)Fritz London Memorial Prize (1999)Benjamin Franklin Medal (2000)Nobel Prize for Physics (2001)Order of Merit of Baden-Württemberg (2002)","Atom laserBose–Einstein condensatesSpinor condensate","Physics","Wolfgang Ketterle","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Ketterle.jpg/250px-Ketterle.jpg"
"Harry J Kimble","Harry Joseph Kember Jr. (April 28, 1934 – February 9, 2012) was an American politician.","April 28, 1934Destrehan, Louisiana","February 9, 2012 (aged 77)","Ascension Catholic High School (1952)",NA,NA,NA,"Harry J. Kember Jr.",NA
"Thibault Marie Alban Guillaume Damour",NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Alan Huse","David Alan Rosenberg (born 1948) is a military historian, and was Admiral Harry W. Hill Chair of Maritime Strategy at the National War College from 1996 to 2003 and held the Class of 1957 Distinguished Chair of Naval Heritage at the United States Naval Academy in 2015–2016.","1948 (age 76–77)",NA,"University of ChicagoAmerican University",NA,NA,"Military history","David Alan Rosenberg","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Rosenberg_presenting_distinguished_sailors_commemorative_stamps.jpg/250px-Rosenberg_presenting_distinguished_sailors_commemorative_stamps.jpg"
"Mikhail D Lukin","Mikhail Lukin (Russian: Михаи́л Дми́триевич Луки́н; born 10 October 1971) is a Russian theoretical and experimental physicist and a professor at Harvard University. He was elected a member of the National Academy of Sciences in 2018.","October 10, 1971 (age 53)Moscow, Russian SFSR",NA,"MIPTTexas A&M University",NA,NA,"Physics","Mikhail Lukin",NA
"David R Nelson","David Robert Nelson (born May 22, 1942) is an American politician who served as a State Representative and Sheriff of Bristol County, Massachusetts.","May 22, 1942 (age 83)New Bedford, Massachusetts",NA,"Saint Mary's College",NA,NA,NA,"David R. Nelson (politician)","https://upload.wikimedia.org/wikipedia/commons/8/8f/1981_David_Nelson_Massachusetts_House_of_Representatives.png"
"Steven M Girvin","Steven Mark Girvin (born April 5, 1950) is an American physicist who is Sterling Professor and former Eugene Higgins Professor of Physics at Yale University. He is noted for his theoretical work on quantum many body systems such as the fractional quantum Hall effect, and as co-developer of circuit quantum electrodynamics (circuit QED), the application of the ideas of quantum optics to superconducting microwave circuits. Circuit QED is now the leading architecture for construction of quantum computers based on superconducting qubits.","April 5, 1950 (age 75)Austin, Texas, U.S.",NA,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}Bates College (BS)University of Maine (MS)Princeton University (MS, PhD)","Oliver E. Buckley Condensed Matter Prize (2007)","Strongly correlated electron states in low dimensional systems.","Condensed matter theory","Steven M. Girvin",NA
"Julian Seymour Schwinger","Julian Seymour Schwinger (/ˈʃwɪŋər/; February 12, 1918 – July 16, 1994) was a Nobel Prize-winning American theoretical physicist. He is best known for his work on quantum electrodynamics (QED), in particular for developing a relativistically invariant perturbation theory, and for renormalizing QED to one loop order. Schwinger was a physics professor at several universities.","Julian Seymour SchwingerFebruary 12, 1918New York City, U.S.","July 16, 1994 (aged 76)Los Angeles, California, U.S.","City College of New YorkColumbia University (BA, PhD)","Albert Einstein Award (1951)National Medal of Science (1964)Nobel Prize in Physics (1965)","Quantum electrodynamicsElectroweak interactionCavity perturbation theoryDyonSpin–statistics theoremMacMahon Master theoremSource theoryMutually unbiased basesKeldysh formalismList of things named after Julian Schwinger","Quantum field theory","Julian Seymour Schwinger","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Schwinger.jpg/250px-Schwinger.jpg"
"Roman Wladimir Jackiw","Roman Wladimir Jackiw (/ˈroʊmɑːn ˈdʒɑːkiːv/; .mw-parser-output .IPA-label-small{font-size:85%}.mw-parser-output .references .IPA-label-small,.mw-parser-output .infobox .IPA-label-small,.mw-parser-output .navbox .IPA-label-small{font-size:100%}Polish: ; November 8, 1939 – June 14, 2023) was a Polish-born American theoretical physicist and Dirac Medallist.","8 November 1939 in General Government (now Poland)","14 June 2023 (aged 83)Cambridge, Massachusetts, U.S.","Swarthmore College (BA)Cornell University (PhD)","Dirac Medal (1998)Heineman Prize (1995)","Adler–Bell–Jackiw anomalyJackiw–Teitelboim gravityTheta vacuum","Physics","Roman Wladimir Jackiw","https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/JackiwFotoThaler.JPG/250px-JackiwFotoThaler.JPG"
"Immanuel Felix Bloch",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Subir Sachdev","Subir Sachdev is Herchel Smith Professor of physics at Harvard University specializing in condensed matter. He was elected to the U.S. National Academy of Sciences in 2014, received the Lars Onsager Prize from the American Physical Society and the Dirac Medal from the ICTP in 2018, and was elected Foreign Member of the Royal Society ForMemRS in 2023. He was a co-editor of the Annual Review of Condensed Matter Physics 2017–2019, and is Editor-in-Chief of Reports on Progress in Physics 2022-.","2 December 1961 in India",NA,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} Massachusetts Institute of Technology (B.S) Harvard University (Ph.D)","LeRoy Apker Award (1982); Sloan Fellowship (1989); Guggenheim Fellowship (2003); National Academy of Sciences (2014); UNSW Dirac Medal (2015); Lars Onsager Prize (2018); ICTP Dirac Medal (2018); Royal Society (2023)","Sachdev–Ye–Kitaev model","Condensed matter theory","Subir Sachdev","https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/R36C4122s.jpg/250px-R36C4122s.jpg"
"Ashvin Vishwanath","Ashvin Vishwanath (born January 9, 1973) is an Indian-American theoretical physicist known for important contributions to condensed matter physics. He is a professor of physics at Harvard University.","January 9, 1973 (age 52)",NA,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}Indian Institute of Technology KanpurPrinceton University (Ph.D.)",NA,NA,NA,"Ashvin Vishwanath",NA
